"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","2","chromium","security/ci/scan-results-audit.spec.ts","","","","Audit: zero critical/high risk issues for release",""
"passed","Fri May 15 03:09:46 UTC 2026","Fri May 15 03:09:46 UTC 2026","13","chromium","security/input/sqli-nosqli.spec.ts","","","","SQLi/NoSQLi: input sanitization in API endpoints",""
"passed","Fri May 15 03:09:46 UTC 2026","Fri May 15 03:09:46 UTC 2026","14","chromium","security/input/sqli-nosqli.spec.ts","","","","SQLi: parameterized queries for search/filter",""
"passed","Fri May 15 03:09:40 UTC 2026","Fri May 15 03:09:40 UTC 2026","21","chromium","security/fuzzing/boundary-values.spec.ts","","","","Boundary Values: null and undefined handled safely",""
"passed","Fri May 15 03:09:52 UTC 2026","Fri May 15 03:09:52 UTC 2026","149","chromium","security/supply-chain/csp-sri.spec.ts","","","","SRI: crossorigin attribute present with integrity",""
"passed","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","1","chromium","security/ci/scan-results-audit.spec.ts","","","","Audit: security posture trending positively",""
"passed","Fri May 15 03:09:44 UTC 2026","Fri May 15 03:09:45 UTC 2026","96","chromium","security/headers/permissions-policy.spec.ts","","","","Permissions-Policy: header present",""
"passed","Fri May 15 03:09:48 UTC 2026","Fri May 15 03:09:49 UTC 2026","1114","chromium","security/input/xss.spec.ts","","","","XSS: DOM-based XSS protection",""
"passed","Fri May 15 03:09:43 UTC 2026","Fri May 15 03:09:43 UTC 2026","113","chromium","security/headers/csp.spec.ts","","","","CSP: object-src is restricted",""
"passed","Fri May 15 03:09:46 UTC 2026","Fri May 15 03:09:46 UTC 2026","19","chromium","security/headers/security-headers.spec.ts","","","","Security headers: no cache for authenticated resources",""
"passed","Fri May 15 03:09:26 UTC 2026","Fri May 15 03:09:40 UTC 2026","13165","chromium","security/crossSiteReqForgery/csrf-rotation.spec.ts","","","","CSRF: browser token invalidated after logout",""
"passed","Fri May 15 03:09:00 UTC 2026","Fri May 15 03:09:01 UTC 2026","44","chromium","security/authentication/broken-authentication.spec.ts","Broken authentication checks","","","Broken authentication: enumeration protection on login",""
"skipped","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","17","chromium","security/ci/security-regression.spec.ts","","","","Regression: IDOR/BOLA protection functional",""
"skipped","Fri May 15 03:09:51 UTC 2026","Fri May 15 03:09:51 UTC 2026","21","chromium","security/oauth/token-expiration.spec.ts","OAuth token lifecycle checks","","","OAuth: reasonable expiration times",""
"passed","Fri May 15 03:08:57 UTC 2026","Fri May 15 03:09:00 UTC 2026","3258","chromium","security/abuse/rate-limit.spec.ts","","","","Rate limiting: 429 status includes Retry-After header",""
"passed","Fri May 15 03:09:40 UTC 2026","Fri May 15 03:09:40 UTC 2026","94","chromium","security/headers/clickjacking.spec.ts","","","","Clickjacking: CSP frame-ancestors directive present",""
"skipped","Fri May 15 03:09:52 UTC 2026","Fri May 15 03:09:52 UTC 2026","1","chromium","security/supply-chain/dependency-security.spec.ts","","","","Supply chain: .npmrc or similar config exists",""
"skipped","Fri May 15 03:09:22 UTC 2026","Fri May 15 03:09:22 UTC 2026","15","chromium","security/authorization/idor.spec.ts","","","","IDOR: users cannot access other users resources by ID",""
"passed","Fri May 15 03:08:57 UTC 2026","Fri May 15 03:08:57 UTC 2026","148","chromium","security/abuse/payload-size.spec.ts","","","","Payload size: server rejects oversized payloads",""
"passed","Fri May 15 03:09:40 UTC 2026","Fri May 15 03:09:40 UTC 2026","28","chromium","security/fuzzing/boundary-values.spec.ts","","","","Boundary Values: array size limits enforced",""
"passed","Fri May 15 03:08:57 UTC 2026","Fri May 15 03:08:57 UTC 2026","115","chromium","security/abuse/payload-size.spec.ts","","","","Payload size: API has reasonable size limits",""
"passed","Fri May 15 03:09:21 UTC 2026","Fri May 15 03:09:21 UTC 2026","104","chromium","security/authentication/ui-login-generic-errors.spec.ts","","","","UI Login: password field masked by default",""
"skipped","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","6","chromium","security/ci/security-regression.spec.ts","","","","Regression: CORS properly restricted",""
"passed","Fri May 15 03:09:52 UTC 2026","Fri May 15 03:09:52 UTC 2026","171","chromium","security/supply-chain/third-party-scripts.spec.ts","","","","Third-party scripts: no inline event handlers",""
"passed","Fri May 15 03:09:52 UTC 2026","Fri May 15 03:09:52 UTC 2026","135","chromium","security/supply-chain/csp-sri.spec.ts","","","","Supply chain: no untrusted CDN sources",""
"passed","Fri May 15 03:09:40 UTC 2026","Fri May 15 03:09:40 UTC 2026","44","chromium","security/fuzzing/random-inputs.spec.ts","","","","Fuzzing: user creation endpoint handles random inputs",""
"passed","Fri May 15 03:09:22 UTC 2026","Fri May 15 03:09:22 UTC 2026","17","chromium","security/authorization/mass-assignment.spec.ts","Mass Assignment Vulnerability Tests","","","Mass assignment: creating user should not allow isAdmin=true",""
"passed","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","1","chromium","security/ci/scan-results-audit.spec.ts","","","","Audit: complete OWASP API Top 10 coverage",""
"passed","Fri May 15 03:09:46 UTC 2026","Fri May 15 03:09:46 UTC 2026","13","chromium","security/input/sqli-nosqli.spec.ts","","","","SQLi: error-based SQL injection detection",""
"passed","Fri May 15 03:09:51 UTC 2026","Fri May 15 03:09:51 UTC 2026","21","chromium","security/input-attack/escape-chars.spec.ts","","","","Escape Chars: NoSQL operators filtered",""
"passed","Fri May 15 03:09:43 UTC 2026","Fri May 15 03:09:43 UTC 2026","105","chromium","security/headers/hsts.spec.ts","","","","HSTS: includeSubDomains directive present",""
"passed","Fri May 15 03:08:59 UTC 2026","Fri May 15 03:09:01 UTC 2026","1833","chromium","security/abuse/rate-limit.spec.ts","","","","Rate limiting: per-IP or per-user limits exist",""
"passed","Fri May 15 03:08:58 UTC 2026","Fri May 15 03:08:59 UTC 2026","1418","chromium","security/abuse/rate-limit.spec.ts","","","","Rate limiting (OWASP API4): DoS protection on public endpoints",""
"passed","Fri May 15 03:09:51 UTC 2026","Fri May 15 03:09:51 UTC 2026","19","chromium","security/input-attack/unicode.spec.ts","","","","Unicode: zero-width characters handled",""
"passed","Fri May 15 03:09:51 UTC 2026","Fri May 15 03:09:52 UTC 2026","141","chromium","security/supply-chain/csp-sri.spec.ts","","","","SRI: external stylesheets have integrity attributes",""
"skipped","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","263","chromium","security/ci/security-regression.spec.ts","","","","Regression: rate limiting enforced",""
"passed","Fri May 15 03:09:50 UTC 2026","Fri May 15 03:09:51 UTC 2026","119","chromium","security/input/xss.spec.ts","","","","XSS: output encoding for user-generated content",""
"passed","Fri May 15 03:09:37 UTC 2026","Fri May 15 03:09:37 UTC 2026","116","chromium","security/crossSiteReqForgery/missing-invalid-token.spec.ts","","","","CSRF: double submit cookie pattern or synchronizer token",""
"passed","Fri May 15 03:09:49 UTC 2026","Fri May 15 03:09:50 UTC 2026","600","chromium","security/input/xss.spec.ts","","","","XSS: JavaScript event handlers sanitized",""
"skipped","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","13","chromium","security/ci/security-regression.spec.ts","","","","Regression: sensitive data not exposed in responses",""
"passed","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","16","chromium","security/cors/cors.spec.ts","","","","CORS: dangerous methods blocked without proper origin",""
"passed","Fri May 15 03:09:50 UTC 2026","Fri May 15 03:09:51 UTC 2026","594","chromium","security/input/xss.spec.ts","","","","XSS: inline script execution is blocked by CSP",""
"skipped","Fri May 15 03:09:51 UTC 2026","Fri May 15 03:09:51 UTC 2026","18","chromium","security/rbac/roleScoping.spec.ts","","","","Role scoping: operations limited by scope",""
"passed","Fri May 15 03:09:48 UTC 2026","Fri May 15 03:09:48 UTC 2026","79","chromium","security/input/xss.spec.ts","","","","XSS: stored XSS in user input fields",""
"passed","Fri May 15 03:09:24 UTC 2026","Fri May 15 03:09:24 UTC 2026","19","chromium","security/ci/security-regression.spec.ts","","","","Regression: SQL injection protection active",""
